org,event_name,event_date,flagship,movable
Eastport,Founder workshop,2026-10-16,yes,yes
Saint John Hub,Demo day,2026-10-16,yes,no
Cape Breton Works,Office hours,2026-10-16,no,yes
Eastport,Peer circle,2026-11-12,no,yes
Charlottetown Launch,Pitch night,2026-11-12,yes,no
St. John's Founders,Info session,2026-12-03,no,yes
Eastport,Winter social,2026-12-10,yes,yes
Moncton Lab,Investor panel,2026-12-10,yes,no
University Centre,Term kickoff,2027-01-14,yes,no
Eastport,Office hours,2027-01-14,no,yes
Saint John partner,Spring flagship,2027-03-11,yes,no
Eastport,Founder forum,2027-03-11,yes,yes
Cape Breton Works,Workshop,2027-04-08,no,yes
Eastport,Workshop,2027-04-22,no,yes
